AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,Cross Street,LAT,LON
1,Central,111,1,BURGLARY,51,M,W,700 N  MAIN                         ST,,"340,583","-1,182,378"
1,Central,111,1,BURGLARY,34,F,B,700    YALE                         ST,,"340,612","-1,182,417"
1,Central,111,1,BURGLARY,0,X,X,800 N  BROADWAY,,"340,623","-1,182,383"
1,Central,111,1,BURGLARY,51,M,O,700    ALPINE                       ST,,"340,635","-1,182,426"
1,Central,158,1,BURGLARY,59,M,H,1200 E  7TH                          ST,,"340,395","-1,182,405"
8,West LA,855,1,BURGLARY,33,M,O,1400 S  BENTLEY                      AV,,"340,509","-1,184,459"
1,Central,195,1,BURGLARY,38,M,B,1800 S  MAIN                         ST,,"340,317","-1,182,641"
1,Central,111,1,BURGLARY,25,F,W,800 N  HILL                         ST,,"340,628","-1,182,395"
1,Central,162,1,BURGLARY,27,M,A,800 S  OLIVE                        ST,,"340,452","-1,182,569"
1,Central,152,1,BURGLARY,27,M,H,600 S  OLIVE                        ST,,"340,481","-1,182,542"
5,Harbor,564,1,BURGLARY,0,X,X,200 W  6TH                          ST,,"337,387","-1,182,814"
1,Central,163,1,BURGLARY,36,F,W,700 S  BROADWAY,,"340,452","-1,182,534"
1,Central,111,1,BURGLARY,30,F,O,800    ALPINE                       ST,,"340,637","-118,244"
10,West Valley,1063,1,BURGLARY,0,M,W,19000    VENTURA                      BL,,"341,725","-1,185,475"
1,Central,131,1,BURGLARY,25,M,W,100 S  FIGUEROA                     ST,,"340,569","-118,254"
1,Central,105,1,BURGLARY,30,F,O,1000 N  BROADWAY,,"340,714","-1,182,329"
1,Central,147,1,BURGLARY,60,M,A,400    WALL                         ST,,"340,464","-1,182,447"
20,Olympic,2036,1,BURGLARY,41,F,B,600 S  BERENDO                      ST,,"340,608","-1,182,941"
1,Central,162,1,BURGLARY,0,M,O,800 S  GRAND                        AV,,"340,459","-1,182,579"
1,Central,176,1,BURGLARY,65,M,B,800    SANTEE                       ST,,"340,413","-1,182,517"
1,Central,118,1,BURGLARY,0,X,X,1400 N  MAIN                         ST,,"340,648","-1,182,313"
1,Central,111,1,BURGLARY,51,M,A,700    ALPINE                       ST,,"340,635","-1,182,426"
1,Central,139,1,BURGLARY,35,M,O,100 S  ALAMEDA                      ST,,"34,049","-1,182,381"
1,Central,165,1,BURGLARY,32,M,H,600    WALL                         ST,,"340,433","-1,182,488"
7,Wilshire,734,1,BURGLARY,28,M,W,300 S  CURSON                       AV,,"340,688","-1,183,552"
11,Northeast,1171,1,BURGLARY,37,F,H,3600    EFFIE                        ST,,"340,924","-1,182,752"
1,Central,111,1,BURGLARY,32,M,B,500 N  FIGUEROA                     ST,,"340,617","-1,182,469"
1,Central,153,1,BURGLARY,28,M,B,500 S  SPRING                       ST,,"340,467","-118,252"
6,Hollywood,645,1,BURGLARY,0,X,X,7000    HOLLYWOOD                    BL,,"341,015","-1,183,425"
2,Rampart,231,1,BURGLARY,78,F,W,200 S  VENDOME                      ST,,"340,703","-1,182,832"
10,West Valley,1001,1,BURGLARY,25,M,W,19200    SATICOY                      ST,,"342,143","-1,185,534"
1,Central,163,1,BURGLARY,57,F,H,700 S  HILL                         ST,,"340,459","-1,182,545"
1,Central,111,1,BURGLARY,26,M,W,900 N  HILL                         ST,,"340,644","-1,182,387"
8,West LA,886,1,BURGLARY,66,F,W,2700    MCCONNELL                    DR,,"340,445","-1,184,035"
