DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200100559,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,600,1,Central,111,1,310,BURGLARY,1402 1822 1414 0344,51,M,W,503,HOTEL,,,AO,Adult Other,310,,,,700 N  MAIN                         ST,,"340,583","-1,182,378"
200104035,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,1,Central,111,1,310,BURGLARY,0344 1822 1414 1605,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,700    YALE                         ST,,"340,612","-1,182,417"
200104069,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,545,1,Central,111,1,310,BURGLARY,1822 1414 0344 1609,0,X,X,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,800 N  BROADWAY,,"340,623","-1,182,383"
200104092,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,1,Central,111,1,310,BURGLARY,1822 0344 1602 0329,51,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,700    ALPINE                       ST,,"340,635","-1,182,426"
200104120,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1450,1,Central,158,1,310,BURGLARY,1822 1218 0344 1206 1605,59,M,H,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,,IC,Invest Cont,310,,,,1200 E  7TH                          ST,,"340,395","-1,182,405"
200815680,10/25/2020 12:00:00 AM,10/24/2020 12:00:00 AM,1800,8,West LA,855,1,310,BURGLARY,1822 1420 0344,33,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1400 S  BENTLEY                      AV,,"340,509","-1,184,459"
200104340,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2030,1,Central,195,1,310,BURGLARY,0344 1822,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1800 S  MAIN                         ST,,"340,317","-1,182,641"
200104579,01/09/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1920,1,Central,111,1,310,BURGLARY,1610 1822 0344 0329 0321,25,F,W,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,310,,,,800 N  HILL                         ST,,"340,628","-1,182,395"
200104726,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1330,1,Central,162,1,310,BURGLARY,0344 1605 0361 1414,27,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,310,,,,800 S  OLIVE                        ST,,"340,452","-1,182,569"
200104850,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,500,1,Central,152,1,310,BURGLARY,0344 1605 1822,27,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,310,,,,600 S  OLIVE                        ST,,"340,481","-1,182,542"
200513373,08/25/2020 12:00:00 AM,08/11/2020 12:00:00 AM,246,5,Harbor,564,1,310,BURGLARY,0344 0321,0,X,X,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,310,,,,200 W  6TH                          ST,,"337,387","-1,182,814"
200105263,01/19/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1900,1,Central,163,1,310,BURGLARY,0344 1822 1606,36,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,700 S  BROADWAY,,"340,452","-1,182,534"
200105370,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1700,1,Central,111,1,310,BURGLARY,0344 1606 1822,30,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,800    ALPINE                       ST,,"340,637","-118,244"
201007391,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1800,10,West Valley,1063,1,310,BURGLARY,1822 1609 0321 1420,0,M,W,220,NAIL SALON,,,IC,Invest Cont,310,,,,19000    VENTURA                      BL,,"341,725","-1,185,475"
200105549,01/23/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1100,1,Central,131,1,310,BURGLARY,0344 1822 0397 1602,25,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,100 S  FIGUEROA                     ST,,"340,569","-118,254"
200105554,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,100,1,Central,105,1,310,BURGLARY,1607 0344 1822 1414 1602,30,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1000 N  BROADWAY,,"340,714","-1,182,329"
200105578,01/22/2020 12:00:00 AM,01/21/2020 12:00:00 AM,1730,1,Central,147,1,310,BURGLARY,1822 1607 0344,60,M,A,406,OTHER STORE,,,IC,Invest Cont,310,,,,400    WALL                         ST,,"340,464","-1,182,447"
212018351,12/15/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1400,20,Olympic,2036,1,310,BURGLARY,1822 0397 0344,41,F,B,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,600 S  BERENDO                      ST,,"340,608","-1,182,941"
200105687,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2045,1,Central,162,1,310,BURGLARY,0344 1822,0,M,O,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,310,,,,800 S  GRAND                        AV,,"340,459","-1,182,579"
200105690,01/25/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1730,1,Central,176,1,310,BURGLARY,0344 1414 1822,65,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,998,,,800    SANTEE                       ST,,"340,413","-1,182,517"
200105732,01/26/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2100,1,Central,118,1,310,BURGLARY,0344 1609 1822,0,X,X,702,OFFICE BUILDING/OFFICE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1400 N  MAIN                         ST,,"340,648","-1,182,313"
200105759,01/26/2020 12:00:00 AM,01/21/2020 12:00:00 AM,1830,1,Central,111,1,310,BURGLARY,0344 0397 0329 1602 1822,51,M,A,707,GARAGE/CARPORT,,,IC,Invest Cont,310,480,,,700    ALPINE                       ST,,"340,635","-1,182,426"
200106005,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1840,1,Central,139,1,310,BURGLARY,0344 1822 1414 1403,35,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,100 S  ALAMEDA                      ST,,"34,049","-1,182,381"
200106039,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,430,1,Central,165,1,310,BURGLARY,0344 0917 0321 1822,32,M,H,118,CONSTRUCTION SITE,,,IC,Invest Cont,310,,,,600    WALL                         ST,,"340,433","-1,182,488"
210715828,11/20/2021 12:00:00 AM,08/01/2020 12:00:00 AM,1900,7,Wilshire,734,1,310,BURGLARY,1607 0358 0344,28,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,300 S  CURSON                       AV,,"340,688","-1,183,552"
201113281,09/04/2020 12:00:00 AM,09/02/2020 12:00:00 AM,1800,11,Northeast,1171,1,310,BURGLARY,1608 0344,37,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,3600    EFFIE                        ST,,"340,924","-1,182,752"
200106301,02/02/2020 12:00:00 AM,02/02/2020 12:00:00 AM,1500,1,Central,111,1,310,BURGLARY,1414 1822 1606 0344,32,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,500 N  FIGUEROA                     ST,,"340,617","-1,182,469"
