UNIT,UNIT_NUM,STUB_NAME,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1950,1,10-14 years,1,0.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1950,1,15-24 years,2,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1950,1,15-19 years,2.1,3.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1950,1,20-24 years,2.2,9.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1950,1,25-44 years,3,17.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1950,1,25-34 years,3.1,13.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1950,1,35-44 years,3.2,21.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1950,1,45-64 years,4,37.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1950,1,45-54 years,4.1,32,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1950,1,55-64 years,4.2,43.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1950,1,65 years and over,5,52.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1950,1,65-74 years,5.1,50.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1950,1,75-84 years,5.2,58.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1950,1,85 years and over,6,58.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1950,1,10-14 years,1,,*
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1950,1,15-24 years,2,2.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1950,1,15-19 years,2.1,1.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1950,1,20-24 years,2.2,3.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1950,1,25-44 years,3,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1950,1,25-34 years,3.1,4.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1950,1,35-44 years,3.2,7.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1950,1,45-64 years,4,9.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1950,1,45-54 years,4.1,9.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1950,1,55-64 years,4.2,9.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1950,1,65 years and over,5,9.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1950,1,65-74 years,5.1,10.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1950,1,75-84 years,5.2,8.1,
